Dia;Confirmados;Diff;Diff calc
26.03.2020;1;0;0
27.03.2020;1;1;1
28.03.2020;1;2;2
29.03.2020;1;3;3
31.03.2020;3;5;5
01.04.2020;3;6;6
02.04.2020;3;7;7
03.04.2020;4;8;8
04.04.2020;4;9;9
06.04.2020;4;11;11
07.04.2020;4;12;12
08.04.2020;4;13;13
09.04.2020;5;14;14
10.04.2020;5;15;15
11.04.2020;5;16;16
12.04.2020;5;17;17
13.04.2020;5;18;18
14.04.2020;6;19;19
15.04.2020;8;20;20
16.04.2020;14;21;21
17.04.2020;17;22;22
19.04.2020;17;24;24
20.04.2020;20;25;25
22.04.2020;24;27;27
23.04.2020;25;28;28
24.04.2020;30;29;29
27.04.2020;33;32;32
28.04.2020;34;33;33
29.04.2020;38;34;34
30.04.2020;44;35;35
02.05.2020;46;37;37
04.05.2020;47;39;39
05.05.2020;50;40;40
06.05.2020;54;41;41
07.05.2020;58;42;42
08.05.2020;63;43;43
11.05.2020;67;46;46
12.05.2020;77;47;47
13.05.2020;84;48;48
14.05.2020;88;49;49
15.05.2020;98;50;50
18.05.2020;103;53;53
19.05.2020;112;54;54
20.05.2020;117;55;55
21.05.2020;123;56;56
22.05.2020;135;57;57
26.05.2020;144;61;61
27.05.2020;156;62;62
28.05.2020;165;63;63
29.05.2020;190;64;64
01.06.2020;205;67;67
02.06.2020;216;68;68
03.06.2020;236;69;69
04.06.2020;247;70;70
05.06.2020;257;71;71
08.06.2020;290;74;74
09.06.2020;316;75;75
10.06.2020;323;76;76
